stage,lambda_ean,mean_weight,mse_gain_pct,psi_meanweight,scalar_risk_ratio_at_meanweight
U7,0.6860303333528769,0.0387639349591541,6.791040179277566,0.0326785850906259,0.925005631175712
U7,1.2455259747599252,0.0359365286709971,5.749020302108439,0.0403482042867143,0.9310268914583512
U7,2.489446183996279,0.0331816976820363,4.187122170066809,0.0578928741775499,0.9374785723337348
U7,0.0272210933468242,0.0477228505134058,5.497035084616114,0.0245109593410038,0.90689376467033
U7,0.0732471592130974,0.0423346558476193,6.802227791336555,0.0227177745623608,0.917254186640204
U7,0.122803946740132,0.0409526562618584,6.885905546616921,0.0229909020401533,0.919977764493084
U7,0.2416696211630846,0.0390034419860233,7.085089043426805,0.0242146945174209,0.9238820288935924
U7,0.6196132624225046,0.0365401320576855,6.845324027503292,0.0295904412456485,0.9290822131461516
U7,0.0021707996822871,0.0518142719155136,6.444456475319434,0.0259633751602628,0.8990620029297696
U7,0.0049452227764522,0.0472754985097513,7.738919668335635,0.0237546431908749,0.907695028178037
U7,0.0115499086511125,0.044489800193804,7.83180263218772,0.0225018266609743,0.9130226031566768
U7,0.0217513603357521,0.0434917743968231,8.285810418435297,0.0222188898266848,0.9149491290937338
U7,0.042110949397036,0.0429064041632125,8.186720797157008,0.0223566167888692,0.9161056757449054
U7,0.1747749263115766,0.049595627781827,6.268003582725103,0.029131849986386,0.9036983692133876
U7,0.2633727156307097,0.0411878573161452,6.278341320692333,0.0260178075742543,0.9197675208598042
U7,0.6359687295147343,0.0392320294668233,6.167508791887592,0.0320911867015618,0.9240539458309552
U7,1.275100310560105,0.0361053335296107,5.428200009880905,0.0410716277630467,0.9307551425787564
U7,2.397713886110416,0.0328630422492894,4.612786650661884,0.055829607495122,0.937943377001168
U7,0.0095413460668477,0.0516698496093688,6.356742785217942,0.0260814247628569,0.8993555473714522
U7,0.0169396087294701,0.0434152715058528,6.567860077225316,0.0220753546090228,0.9150862720161717
U7,0.0392698735577615,0.0419682075013215,7.433228997100461,0.0218081468516721,0.9178940826619374
U7,0.0900619629801843,0.0418134666980848,7.959907818008198,0.0227896347939604,0.918278893874868
U7,0.1893782143579795,0.0417040902237954,8.07096511499255,0.0248009681809009,0.9186604231817166
U7,3.17880856682092e-05,0.0541687273936183,7.260894729917881,0.0270852246568826,0.8945968895144305
U7,5.968112091464501e-05,0.0467984435842011,7.661462062388763,0.0234006182838856,0.9085933378607852
U7,0.0001408340681042,0.0452318452984024,7.894470699899141,0.0226191077415918,0.9115825173675062
U7,0.0003605192026623,0.0439422546370408,8.624280155604449,0.0219790483318229,0.9140471086028716
U7,0.0006155424583281,0.0433576684988479,8.55389270905674,0.0216921784923515,0.9151657075704824
