AUC_true,h_hist,mismatch,m_application,C_labels,max_labels_tested,Vmin,rho,robust_oracle_cap,status
0.6,0.6,0,128,256,4096,0.00123184418154262,0,1,finite_within_grid
0.6,0.6,0,256,256,4096,0.000614656036010568,0,1,finite_within_grid
0.6,0.6,0,512,512,4096,0.000307011504315098,0,1,finite_within_grid
0.6,0.625,0.025,16,64,4096,0.0101383497187474,0.0397579580528829,1,finite_within_grid
0.6,0.625,0.025,32,64,4096,0.00498814735468614,0.0566810736349307,1,finite_within_grid
0.6,0.625,0.025,64,128,4096,0.00247381680117118,0.0804866659638575,1,finite_within_grid
0.6,0.625,0.025,128,256,4096,0.00123184418154262,0.114059067565601,1,finite_within_grid
0.6,0.625,0.025,256,512,4096,0.000614656036010568,0.161469919868817,0.991655778950811,finite_within_grid
0.6,0.625,0.025,512,1024,4096,0.000307011504315098,0.228470630575109,0.658814838429939,finite_within_grid
0.6,0.65,0.05,16,64,4096,0.0101383497187474,0.0795159161057658,1,finite_within_grid
0.6,0.65,0.05,32,64,4096,0.00498814735468614,0.113362147269861,1,finite_within_grid
0.6,0.65,0.05,64,128,4096,0.00247381680117118,0.160973331927715,0.994735793481044,finite_within_grid
0.6,0.65,0.05,128,256,4096,0.00123184418154262,0.228118135131202,0.660179858331285,finite_within_grid
0.6,0.65,0.05,256,512,4096,0.000614656036010568,0.322939839737634,0.39468630173228,finite_within_grid
0.6,0.65,0.05,512,2048,4096,0.000307011504315098,0.456941261150218,0.218746167476081,finite_within_grid
0.6,0.675,0.0750000000000001,16,64,4096,0.0101383497187474,0.119273874158649,1,finite_within_grid
0.6,0.675,0.0750000000000001,32,64,4096,0.00498814735468614,0.170043220904792,0.939993988208157,finite_within_grid
0.6,0.675,0.0750000000000001,64,128,4096,0.00247381680117118,0.241459997891572,0.610908201013619,finite_within_grid
0.6,0.675,0.0750000000000001,128,256,4096,0.00123184418154262,0.342177202696803,0.359303536416511,finite_within_grid
0.6,0.675,0.0750000000000001,256,1024,4096,0.000614656036010568,0.484409759606452,0.19701599974846,finite_within_grid
0.6,0.675,0.0750000000000001,512,4096,4096,0.000307011504315098,0.685411891725327,0.103510083920697,finite_within_grid
0.6,0.7,0.1,16,64,4096,0.0101383497187474,0.159031832211531,1,finite_within_grid
0.6,0.7,0.1,32,64,4096,0.00498814735468614,0.226724294539723,0.665612265031084,finite_within_grid
0.6,0.7,0.1,64,128,4096,0.00247381680117118,0.321946663855429,0.396641515680896,finite_within_grid
0.6,0.7,0.1,128,512,4096,0.00123184418154262,0.456236270262403,0.21934851688326,finite_within_grid
0.6,0.7,0.1,256,2048,4096,0.000614656036010568,0.645879679475268,0.11581270913072,finite_within_grid
0.6,0.7,0.1,512,Inf,4096,0.000307011504315098,0.913882522300435,0.0595733310643082,safe_but_grid_censored
0.65,0.55,-0.1,16,64,4096,0.00941062572554113,0.165066311132504,0.969636513382289,finite_within_grid
0.65,0.55,-0.1,32,128,4096,0.00462517745819625,0.235452603135641,0.632495225636282,finite_within_grid
0.65,0.55,-0.1,64,256,4096,0.00229255487795455,0.334432000184515,0.372998925075537,finite_within_grid
0.65,0.55,-0.1,128,512,4096,0.00114126897619138,0.473994923747827,0.204872349573508,finite_within_grid
0.65,0.55,-0.1,256,2048,4096,0.000569382372399216,0.671066698603029,0.107741843815982,finite_within_grid
0.65,0.55,-0.1,512,Inf,4096,0.000284378157275489,0.949553805490439,0.0553029367311453,safe_but_grid_censored
